0;Elberfeld-Mitte
1;Nordstadt
2;Ostersbaum
3;Südstadt
4;Grifflenberg
5;Friedrichsberg
10;Sonnborn
11;Varresbeck
12;Nützenberg
13;Brill
14;Arrenberg
15;Zoo
16;Buchenhofen
20;Uellendahl-West
21;Uellendahl-Ost
22;Dönberg
23;Nevigeser Str
24;Beek
25;Eckbusch
26;Siebeneick
30;Vohwinkel-Mitte
31;Osterholz
32;Tesche
33;Schöller-Dornap
34;Lüntenbeck
35;Industriestr
36;Westring
37;Höhe
38;Schrödersbusch
40;Cronenberg-Mitte
41;Küllenhahn
42;Hahnerberg
43;Cronenfeld
44;Berghausen
45;Sudberg
46;Kohlfurth
50;Barmen-Mitte
51;Friedrich-Engels-Allee
52;Loh
53;Clausen
54;Rott
55;Sedansberg
56;Hatzfeld
57;Kothen
58;Hesselnberg
59;Lichtenplatz
60;Oberbarmen-Schwarzbach
61;Wichlinghausen-Süd
62;Wichlinghausen-Nord
63;Nächstebreck-Ost
64;Nächstebreck-West
70;Heckinghausen
71;Heidt
72;Hammesberg
80;Langerfeld-Mitte
81;Rauental
82;Jesinghauser Str
83;Hilgershöhe
84;Löhrerlen
85;Fleute
86;Ehrenberg
87;Beyenburg-Mitte
88;Herbringhausen
90;Ronsdorf-Mitte/Nord
91;Blombach-Lohsiepen
92;Schenkstr
93;Schenkstr
94;Blutfinke
95;Erbschlö-Linde
